Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Juriën Gaari,RKC Waalwijk,Eredivise,2022,28,Defender,FB,5,415,0,,0.029,0.006,0.029,0.006,,,,,0,,0.111,0.024,0.111,0.024,0.118,0.026,0.371,0.081,0.31,0.067,0.061,0.013
Joey Pelupessy,FC Groningen,Eredivise,2022,29,Midfielder,CM,5,450,0,,0.101,0.02,0.101,0.02,,,,,0,,0.067,0.013,0.067,0.013,0.118,0.024,0.126,0.025,0.053,0.011,0.073,0.015
Yassin Ayoub,Excelsior Rotterdam,Eredivise,2022,28,Midfielder,CM,5,251,0,,0.027,0.01,0.027,0.01,,,,,0,,0.618,0.221,0.187,0.067,0.117,0.042,0.126,0.045,0.112,0.04,0.014,0.005
Youri Baas,Ajax,Eredivise,2022,19,Defender,FB,1,33,0,,,,,,,,,,0,,0.119,0.326,0.119,0.325,0.113,0.308,-0.031,-0.085,-0.04,-0.11,0.009,0.025
Luuk Brouwers,FC Utrecht,Eredivise,2022,24,Midfielder,CM,5,431,0,,0.438,0.091,0.438,0.091,0.454,,0.076,,1,0.209,0.205,0.043,0.205,0.043,0.106,0.022,0.111,0.023,0.041,0.009,0.07,0.015
Justin Bakker,Go Ahead Eagles,Eredivise,2022,24,Defender,CB,2,180,0,,,,,,,,,,0,,0.116,0.058,0.112,0.056,0.105,0.052,0.25,0.125,0.229,0.115,0.021,0.01
Fredrik Oppegård,PSV,Eredivise,2022,20,Defender,CB,2,135,0,,0.044,0.03,0.044,0.03,,,,,0,,0.097,0.065,0.094,0.063,0.104,0.069,0.023,0.015,-0.067,-0.045,0.089,0.06
Jeremy Van Mullem,Sparta Rotterdam,Eredivise,2022,23,Defender,CB,4,89,0,,0.095,0.096,0.095,0.096,0.028,,0.001,,0,,0.02,0.021,0.02,0.021,0.103,0.104,0.021,0.022,-0.002,-0.002,0.023,0.023
Yorbe Vertessen,PSV,Eredivise,2022,21,Forward,FW,2,56,0,,0.273,0.438,0.273,0.438,0.165,,-0.108,,0,,0.031,0.05,0.031,0.05,0.097,0.157,-0.004,-0.007,0,0,-0.005,-0.008
Érick Gutiérrez,PSV,Eredivise,2022,27,Midfielder,CM,4,200,0,,0.069,0.031,0.069,0.031,,,,,1,0.45,0.056,0.025,0.053,0.024,0.097,0.044,0.061,0.028,0.053,0.024,0.009,0.004
Modibo Sagnan,FC Utrecht,Eredivise,2022,23,Defender,CB,3,180,0,,0.102,0.051,0.102,0.051,,,,,0,,0.052,0.026,0.052,0.026,0.094,0.047,0.152,0.076,0.134,0.067,0.018,0.009
Redouan El Yaakoubi,Excelsior Rotterdam,Eredivise,2022,26,Defender,CB,5,450,1,0.2,0.271,0.054,0.271,0.054,0.619,,0.478,,0,,0.079,0.016,0.079,0.016,0.089,0.018,0.341,0.068,0.282,0.056,0.059,0.012
